,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,radius,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,weight,ring-number,ring-type,spore-print-color,population,habitat,class
263,f,y,n,t,n,f,c,b,u,t,b,367,s,s,w,g,p,w,28,o,p,n,v,d,e
264,x,s,w,f,n,f,w,b,k,t,e,3,f,f,w,w,p,w,23,o,e,k,s,g,e
265,x,y,y,t,a,f,c,b,n,e,c,26,s,s,w,w,p,w,25,o,p,k,s,g,e
266,f,f,e,t,n,f,c,b,u,t,b,186,s,s,p,w,p,w,37,o,p,k,v,d,e
267,b,y,w,t,n,f,c,b,g,e,b,228,s,s,w,w,p,w,60,t,p,r,v,g,p
268,x,y,g,f,f,f,c,b,g,e,b,6,k,k,p,p,p,w,23,o,l,h,v,p,p
269,f,y,y,f,f,f,c,b,h,e,b,224,k,k,n,b,p,w,28,o,l,h,y,d,p
270,x,y,g,f,f,f,c,b,h,e,b,93,k,k,b,n,p,w,47,o,l,h,y,g,p
271,x,s,n,f,n,a,c,b,o,e,?,118,s,s,o,o,p,n,22,o,p,n,v,l,e
272,x,s,n,f,s,f,c,n,b,t,?,321,k,s,w,w,p,w,42,o,e,w,v,l,p
273,k,s,e,f,f,f,c,n,b,t,?,678,k,k,w,p,p,w,56,o,e,w,v,p,p
274,f,y,e,f,f,f,c,n,b,t,?,405,s,s,p,p,p,w,58,o,e,w,v,l,p
275,f,f,n,t,n,f,c,b,u,t,b,169,s,s,p,p,p,w,23,o,p,k,v,d,e
276,x,y,p,t,n,f,c,b,e,e,?,174,s,s,w,w,p,w,29,t,e,w,c,w,e
277,f,f,g,f,f,f,c,b,g,e,b,190,k,k,b,n,p,w,37,o,l,h,v,d,p
278,f,y,n,t,n,f,c,b,u,t,b,467,s,s,g,p,p,w,41,o,p,k,y,d,e
279,x,f,e,t,n,f,c,b,w,t,b,13,s,s,p,w,p,w,31,o,p,k,v,d,e
280,k,y,n,t,n,f,c,b,w,e,?,141,s,s,e,e,p,w,24,t,e,w,c,w,e
281,x,y,y,t,a,f,c,b,w,e,c,123,s,s,w,w,p,w,72,o,p,n,n,m,e
282,f,y,y,t,a,f,c,b,p,e,r,46,s,y,w,w,p,w,26,o,p,n,y,g,e
283,f,y,y,f,f,f,c,b,g,e,b,108,k,k,n,b,p,w,23,o,l,h,v,p,p
284,f,y,e,t,n,f,c,b,p,t,b,172,s,s,w,p,p,w,44,o,p,k,y,d,e
285,x,s,b,t,n,f,c,b,w,e,?,205,s,s,e,e,p,w,48,t,e,w,c,w,e
286,f,y,g,t,n,f,c,b,n,t,b,201,s,s,p,p,p,w,22,o,p,k,y,d,e
287,x,f,g,t,n,f,c,b,p,t,b,236,s,s,p,p,p,w,50,o,p,k,y,d,e
288,k,s,n,f,s,f,c,n,b,t,?,334,k,k,w,w,p,w,23,o,e,w,v,p,p
289,f,y,g,f,f,f,c,b,h,e,b,16,k,k,p,n,p,w,36,o,l,h,v,p,p
290,x,f,n,t,n,f,c,b,n,t,b,203,s,s,w,p,p,w,66,o,p,n,v,d,e
291,x,y,b,t,n,f,c,b,e,e,?,80,s,s,e,w,p,w,39,t,e,w,c,w,e
292,x,y,g,f,f,f,c,b,g,e,b,109,k,k,n,b,p,w,23,o,l,h,v,d,p
293,x,s,y,t,l,f,c,b,g,e,c,134,s,s,w,w,p,w,24,o,p,k,s,g,e
294,f,s,w,f,n,f,w,b,n,t,e,184,f,s,w,w,p,w,38,o,e,k,s,g,e
295,x,y,g,f,f,f,c,b,p,e,b,33,k,k,p,b,p,w,37,o,l,h,y,g,p
296,x,y,n,t,n,f,c,b,u,t,b,193,s,s,p,g,p,w,65,o,p,n,v,d,e
297,x,s,n,f,n,f,w,b,p,t,e,59,s,s,w,w,p,w,43,o,e,k,a,g,e
298,x,s,y,t,l,f,c,b,w,e,c,88,s,s,w,w,p,w,23,o,p,n,n,g,e
299,f,y,y,f,f,f,c,b,p,e,b,215,k,k,n,p,p,w,23,o,l,h,y,p,p
300,x,s,n,f,n,a,c,b,y,e,?,823,s,s,o,o,p,n,36,o,p,y,c,l,e
301,f,y,n,t,n,f,c,b,n,t,b,9,s,s,w,g,p,w,45,o,p,n,v,d,e
302,f,s,e,f,f,f,c,n,b,t,?,549,s,k,w,p,p,w,65,o,e,w,v,l,p
303,x,y,e,t,n,f,c,b,p,t,b,312,s,s,p,p,p,w,40,o,p,k,v,d,e
304,x,y,g,f,f,f,c,b,p,e,b,3,k,k,b,b,p,w,59,o,l,h,y,p,p
305,f,f,n,t,n,f,c,b,n,t,b,46,s,s,g,g,p,w,23,o,p,n,y,d,e
306,f,f,e,t,n,f,c,b,w,t,b,117,s,s,p,p,p,w,35,o,p,k,y,d,e
307,f,s,n,f,s,f,c,n,b,t,?,267,s,k,p,p,p,w,36,o,e,w,v,l,p
308,k,y,b,t,n,f,c,b,e,e,?,229,s,s,e,e,p,w,40,t,e,w,c,w,e
309,f,y,g,f,f,f,c,b,g,e,b,245,k,k,n,b,p,w,40,o,l,h,v,d,p
310,f,f,g,f,f,f,c,b,p,e,b,82,k,k,p,n,p,w,46,o,l,h,v,p,p
311,k,s,e,f,f,f,c,n,b,t,?,142,s,k,p,w,p,w,23,o,e,w,v,p,p
312,x,y,e,t,n,f,c,b,n,t,b,207,s,s,p,p,p,w,39,o,p,k,y,d,e
313,f,y,y,f,f,f,c,b,g,e,b,176,k,k,p,n,p,w,23,o,l,h,y,p,p
314,x,f,e,t,n,f,c,b,u,t,b,108,s,s,p,w,p,w,26,o,p,k,v,d,e
315,f,s,n,f,n,f,w,b,n,t,e,114,f,s,w,w,p,w,23,o,e,n,a,g,e
316,k,y,n,f,s,f,c,n,b,t,?,590,s,s,p,w,p,w,25,o,e,w,v,l,p
317,x,f,g,t,n,f,c,b,u,t,b,366,s,s,w,g,p,w,23,o,p,k,y,d,e
318,f,y,g,f,f,f,c,b,h,e,b,126,k,k,b,n,p,w,23,o,l,h,v,p,p
319,x,s,n,f,s,f,c,n,b,t,?,22,s,k,p,p,p,w,23,o,e,w,v,d,p
320,x,y,n,t,n,f,c,b,w,t,b,279,s,s,p,w,p,w,23,o,p,n,v,d,e
321,x,s,y,t,a,f,c,b,n,e,c,33,s,s,w,w,p,w,56,o,p,k,n,g,e
322,f,y,e,t,n,f,c,b,u,t,b,390,s,s,g,g,p,w,26,o,p,n,y,d,e
323,x,y,y,t,a,f,c,b,k,e,c,233,s,s,w,w,p,w,48,o,p,k,s,m,e
324,f,s,e,f,s,f,c,n,b,t,?,246,s,s,w,p,p,w,61,o,e,w,v,d,p
325,x,y,y,t,a,f,c,b,g,e,c,3,s,s,w,w,p,w,25,o,p,k,n,g,e
326,f,y,p,t,n,f,c,b,e,e,?,294,s,s,w,e,p,w,42,t,e,w,c,w,e
327,x,y,e,t,n,f,c,b,w,t,b,224,s,s,p,p,p,w,23,o,p,k,y,d,e
328,f,f,n,f,n,f,w,b,p,t,e,266,s,s,w,w,p,w,44,o,e,n,s,g,e
329,x,f,p,f,c,f,w,n,p,e,b,208,s,s,w,w,p,w,24,o,p,n,v,d,p
330,f,f,g,t,n,f,c,b,p,t,b,153,s,s,w,w,p,w,27,o,p,k,y,d,e
331,x,f,n,f,n,f,w,b,k,t,e,44,f,f,w,w,p,w,27,o,e,n,s,g,e
332,f,y,y,f,f,f,c,b,g,e,b,7,k,k,n,p,p,w,36,o,l,h,v,d,p
333,f,s,n,t,p,f,c,n,n,e,e,20,s,s,w,w,p,w,23,o,p,k,v,u,p
334,f,f,g,f,n,f,w,b,p,t,e,54,f,s,w,w,p,w,31,o,e,k,s,g,e
335,b,s,n,f,n,a,c,b,n,e,?,846,s,s,o,o,p,n,30,o,p,o,v,l,e
336,k,y,e,f,f,f,c,n,b,t,?,172,s,s,w,p,p,w,24,o,e,w,v,p,p
337,x,f,n,f,n,f,w,b,h,t,e,314,s,f,w,w,p,w,49,o,e,k,s,g,e
338,k,s,n,f,f,f,c,n,b,t,?,187,k,s,p,w,p,w,35,o,e,w,v,d,p
339,k,s,n,f,y,f,c,n,b,t,?,234,k,k,w,p,p,w,44,o,e,w,v,p,p
340,x,y,y,f,f,f,c,b,p,e,b,47,k,k,b,p,p,w,27,o,l,h,y,p,p
341,k,s,e,f,y,f,c,n,b,t,?,432,k,s,p,p,p,w,29,o,e,w,v,l,p
342,f,y,n,t,l,f,c,b,p,e,r,8,s,y,w,w,p,w,23,o,p,k,s,g,e
343,f,y,p,t,n,f,c,b,w,e,b,434,s,s,w,w,p,w,23,t,p,w,y,p,e
344,f,y,u,f,n,f,c,n,w,e,?,405,s,f,w,w,p,w,23,o,f,h,y,d,e
345,f,y,g,f,f,f,c,b,p,e,b,251,k,k,n,n,p,w,38,o,l,h,v,g,p
346,f,y,g,f,f,f,c,b,p,e,b,2,k,k,b,n,p,w,35,o,l,h,y,d,p
347,x,s,e,f,y,f,c,n,b,t,?,77,k,k,w,p,p,w,27,o,e,w,v,l,p
348,f,y,g,t,n,f,c,b,p,t,b,346,s,s,g,g,p,w,27,o,p,k,y,d,e
349,x,y,n,t,n,f,c,b,u,t,b,10,s,s,g,g,p,w,25,o,p,n,v,d,e
350,f,y,e,f,s,f,c,n,b,t,?,6,k,k,p,w,p,w,49,o,e,w,v,p,p
351,b,y,w,t,l,f,c,b,n,e,c,2,s,s,w,w,p,w,35,o,p,k,n,g,e
352,k,y,e,f,y,f,c,n,b,t,?,304,s,s,p,w,p,w,23,o,e,w,v,p,p
353,x,y,n,f,f,f,c,n,b,t,?,17,s,s,p,w,p,w,28,o,e,w,v,l,p
354,f,y,b,t,n,f,c,b,r,e,b,232,s,s,w,w,p,w,63,t,p,r,v,m,p
355,x,y,g,f,f,f,c,b,h,e,b,99,k,k,b,n,p,w,23,o,l,h,y,d,p
356,f,s,b,t,f,f,c,b,p,t,b,8,f,f,w,w,p,w,25,o,p,h,s,g,p
357,x,f,n,t,n,f,c,b,w,t,b,15,s,s,p,g,p,w,23,o,p,n,y,d,e
358,x,f,g,f,n,f,w,b,g,e,?,266,s,k,w,w,p,w,35,t,p,w,n,g,e
359,f,y,n,t,n,f,c,b,w,e,?,132,s,s,w,w,p,w,51,t,e,w,c,w,e
360,x,y,e,t,n,f,c,b,n,t,b,202,s,s,g,w,p,w,28,o,p,n,v,d,e
361,x,s,e,f,f,f,c,n,b,t,?,243,k,k,p,p,p,w,64,o,e,w,v,d,p
362,f,f,g,t,n,f,c,b,p,t,b,94,s,s,w,g,p,w,36,o,p,n,y,d,e
363,x,y,g,f,f,f,c,b,p,e,b,87,k,k,p,p,p,w,58,o,l,h,v,g,p
364,x,y,g,f,f,f,c,b,g,e,b,289,k,k,p,p,p,w,24,o,l,h,v,g,p
365,f,y,y,f,f,f,c,b,p,e,b,29,k,k,b,n,p,w,23,o,l,h,y,g,p
366,f,f,g,f,f,f,c,b,g,e,b,135,k,k,p,n,p,w,23,o,l,h,v,d,p
367,f,y,n,f,f,f,c,n,b,t,?,564,k,s,p,w,p,w,47,o,e,w,v,l,p
368,f,f,y,f,f,f,c,b,h,e,b,6,k,k,n,p,p,w,24,o,l,h,y,d,p
369,f,s,n,f,y,f,c,n,b,t,?,363,s,s,w,w,p,w,51,o,e,w,v,l,p
370,f,y,n,f,s,f,c,n,b,t,?,26,s,k,p,w,p,w,23,o,e,w,v,d,p
371,x,y,g,t,n,f,c,b,w,e,b,430,s,s,w,w,p,w,23,t,p,w,y,p,e
372,f,y,y,f,f,f,c,b,g,e,b,1,k,k,n,p,p,w,46,o,l,h,y,p,p
373,f,f,y,f,f,f,c,b,h,e,b,204,k,k,n,p,p,w,25,o,l,h,v,g,p
374,x,y,g,f,f,f,c,b,p,e,b,81,k,k,p,b,p,w,28,o,l,h,v,g,p
375,x,s,g,t,f,f,c,b,w,t,b,175,f,f,w,w,p,w,46,o,p,h,s,u,p
376,x,y,y,t,l,f,c,b,p,e,r,37,s,y,w,w,p,w,26,o,p,k,y,g,e
377,f,f,g,f,f,f,c,b,p,e,b,28,k,k,b,n,p,w,41,o,l,h,y,g,p
378,x,y,y,f,f,f,c,b,g,e,b,2,k,k,n,p,p,w,23,o,l,h,y,p,p
379,x,y,g,t,n,f,c,b,u,t,b,251,s,s,p,w,p,w,33,o,p,n,v,d,e
380,f,y,n,f,f,f,c,n,b,t,?,205,k,k,w,p,p,w,23,o,e,w,v,d,p
381,k,s,n,f,y,f,c,n,b,t,?,745,s,k,w,p,p,w,35,o,e,w,v,p,p
382,f,y,g,t,n,f,c,b,n,t,b,3,s,s,p,p,p,w,23,o,p,n,y,d,e
383,x,f,g,f,f,f,c,b,p,e,b,4,k,k,b,p,p,w,37,o,l,h,y,g,p
384,f,f,n,f,n,f,w,b,k,t,e,28,f,s,w,w,p,w,23,o,e,k,a,g,e
385,x,y,y,f,f,f,c,b,h,e,b,145,k,k,n,p,p,w,54,o,l,h,v,g,p
386,k,y,n,f,s,f,c,n,b,t,?,3,s,k,w,p,p,w,42,o,e,w,v,d,p
387,f,y,n,t,a,f,c,b,p,e,r,107,s,y,w,w,p,w,29,o,p,k,s,g,e
388,f,s,n,f,f,f,c,n,b,t,?,396,s,k,w,p,p,w,45,o,e,w,v,p,p
389,f,s,n,f,y,f,c,n,b,t,?,1,k,s,w,w,p,w,34,o,e,w,v,l,p
390,x,s,n,f,n,f,w,b,p,t,e,39,s,s,w,w,p,w,38,o,e,k,s,g,e
391,f,f,g,t,n,f,c,b,u,t,b,166,s,s,w,w,p,w,37,o,p,k,y,d,e
392,f,y,e,f,y,f,c,n,b,t,?,19,k,s,p,p,p,w,25,o,e,w,v,l,p
393,f,y,n,t,l,f,c,b,p,e,r,69,s,y,w,w,p,w,44,o,p,k,y,p,e
394,k,y,n,f,f,f,c,n,b,t,?,459,k,s,w,p,p,w,33,o,e,w,v,p,p
395,f,y,e,f,s,f,c,n,b,t,?,150,k,k,p,w,p,w,25,o,e,w,v,l,p
396,x,f,n,f,n,f,w,b,k,t,e,143,f,f,w,w,p,w,26,o,e,k,s,g,e
397,x,y,y,f,f,f,c,b,p,e,b,176,k,k,b,b,p,w,39,o,l,h,y,g,p
398,x,s,y,t,a,f,w,n,n,t,b,161,s,s,w,w,p,w,23,o,p,u,v,d,e
399,x,f,e,t,n,f,c,b,p,t,b,132,s,s,w,p,p,w,34,o,p,n,y,d,e
400,x,y,g,t,n,f,c,b,p,t,b,240,s,s,w,p,p,w,40,o,p,n,v,d,e
401,x,f,y,f,f,f,c,b,h,e,b,8,k,k,p,p,p,w,39,o,l,h,v,p,p
402,x,s,w,f,n,f,w,b,k,t,e,269,f,f,w,w,p,w,35,o,e,n,a,g,e
403,x,f,y,f,f,f,c,b,g,e,b,182,k,k,p,n,p,w,27,o,l,h,v,p,p
404,x,s,n,f,f,f,c,n,b,t,?,28,k,s,w,w,p,w,34,o,e,w,v,d,p
405,b,y,y,t,l,f,c,b,n,e,c,5,s,s,w,w,p,w,24,o,p,k,s,m,e
406,x,s,n,f,f,f,c,n,b,t,?,356,k,s,p,p,p,w,40,o,e,w,v,l,p
407,f,s,n,f,s,f,c,n,b,t,?,133,k,k,w,w,p,w,47,o,e,w,v,l,p
408,f,y,w,t,n,f,c,b,g,e,b,111,s,s,w,w,p,w,26,t,p,r,v,m,p
409,x,y,y,f,f,f,c,b,p,e,b,123,k,k,b,n,p,w,40,o,l,h,v,g,p
410,x,y,y,t,a,f,c,b,g,e,c,117,s,s,w,w,p,w,23,o,p,n,n,m,e
411,b,y,w,t,a,f,c,b,g,e,c,38,s,s,w,w,p,w,26,o,p,k,s,g,e
412,f,f,e,t,n,f,c,b,p,t,b,110,s,s,p,p,p,w,28,o,p,k,y,d,e
413,x,y,g,f,f,f,c,b,g,e,b,56,k,k,p,b,p,w,24,o,l,h,y,d,p
414,x,y,n,t,n,f,c,b,n,t,b,112,s,s,w,w,p,w,46,o,p,n,y,d,e
415,x,y,g,f,f,f,c,b,h,e,b,199,k,k,n,n,p,w,29,o,l,h,v,p,p
416,f,s,w,t,l,f,w,n,w,t,b,163,s,s,w,w,p,w,23,o,p,u,v,d,e
417,f,s,e,f,f,f,c,n,b,t,?,412,k,s,w,w,p,w,23,o,e,w,v,l,p
418,f,f,n,t,n,f,c,b,n,t,b,183,s,s,w,w,p,w,23,o,p,n,v,d,e
419,f,y,n,f,f,f,c,n,b,t,?,72,s,k,w,w,p,w,23,o,e,w,v,l,p
420,x,y,n,t,n,f,c,b,n,t,b,245,s,s,g,g,p,w,42,o,p,k,v,d,e
421,f,y,e,f,y,f,c,n,b,t,?,178,k,s,w,p,p,w,52,o,e,w,v,l,p
422,x,y,g,t,n,f,c,b,n,t,b,139,s,s,g,w,p,w,23,o,p,n,y,d,e
423,f,y,n,f,s,f,c,n,b,t,?,317,k,k,p,w,p,w,23,o,e,w,v,p,p
424,x,y,g,f,f,f,c,b,h,e,b,6,k,k,p,b,p,w,43,o,l,h,v,d,p
425,k,s,n,f,s,f,c,n,b,t,?,224,s,k,w,w,p,w,23,o,e,w,v,d,p
426,k,y,n,f,y,f,c,n,b,t,?,417,k,s,w,p,p,w,28,o,e,w,v,l,p
427,b,s,g,f,n,f,w,b,p,e,?,116,s,k,w,w,p,w,23,t,p,w,n,g,e
428,x,y,e,f,y,f,c,n,b,t,?,289,k,k,w,p,p,w,23,o,e,w,v,l,p
429,x,y,g,f,f,f,c,b,g,e,b,45,k,k,n,n,p,w,41,o,l,h,v,g,p
430,f,y,n,t,n,f,c,b,w,t,b,12,s,s,p,w,p,w,22,o,p,n,v,d,e
431,k,s,e,f,y,f,c,n,b,t,?,274,s,k,p,p,p,w,23,o,e,w,v,p,p
432,b,f,w,f,n,f,w,b,w,e,?,596,s,k,w,w,p,w,23,t,p,w,n,g,e
433,k,s,n,f,s,f,c,n,b,t,?,64,k,s,w,w,p,w,35,o,e,w,v,d,p
434,x,s,y,t,l,f,c,b,w,e,c,4,s,s,w,w,p,w,23,o,p,n,n,m,e
435,f,s,e,f,f,f,c,n,b,t,?,155,s,s,w,w,p,w,34,o,e,w,v,p,p
436,x,y,n,t,n,f,c,b,w,t,b,4,s,s,g,g,p,w,26,o,p,k,v,d,e
437,f,y,n,t,n,f,c,b,u,t,b,350,s,s,w,p,p,w,35,o,p,n,v,d,e
438,x,y,y,f,f,f,c,b,g,e,b,268,k,k,p,p,p,w,57,o,l,h,y,p,p
439,f,y,y,f,f,f,c,b,h,e,b,147,k,k,b,n,p,w,39,o,l,h,v,g,p
440,x,y,y,f,f,f,c,b,g,e,b,201,k,k,n,p,p,w,32,o,l,h,v,p,p
441,f,f,n,t,n,f,c,b,n,t,b,189,s,s,p,p,p,w,23,o,p,k,v,d,e
442,f,s,b,t,n,f,c,b,e,e,?,1,s,s,w,w,p,w,37,t,e,w,c,w,e
443,f,y,n,t,n,f,c,b,n,t,b,192,s,s,w,g,p,w,23,o,p,k,y,d,e
444,k,y,e,f,s,f,c,n,b,t,?,258,s,s,p,w,p,w,23,o,e,w,v,p,p
445,f,s,e,f,y,f,c,n,b,t,?,8,s,k,w,w,p,w,40,o,e,w,v,l,p
446,f,y,g,t,n,f,c,b,u,t,b,153,s,s,p,w,p,w,23,o,p,n,v,d,e
447,f,s,n,f,n,f,w,b,h,t,e,157,f,s,w,w,p,w,23,o,e,k,a,g,e
448,f,s,b,t,f,f,c,b,w,t,b,4,s,f,w,w,p,w,23,o,p,h,s,g,p
449,x,y,e,f,m,a,c,b,w,e,c,247,k,y,c,c,p,w,23,n,n,w,c,d,p
450,f,s,w,f,n,f,w,b,n,t,e,165,f,f,w,w,p,w,23,o,e,n,s,g,e
451,f,y,n,f,s,f,c,n,b,t,?,158,k,s,w,w,p,w,34,o,e,w,v,p,p
452,x,y,w,t,a,f,c,b,k,e,c,41,s,s,w,w,p,w,60,o,p,k,s,g,e
453,x,f,n,f,n,f,w,b,p,t,e,29,s,f,w,w,p,w,23,o,e,n,a,g,e
454,x,y,g,f,f,f,c,b,g,e,b,162,k,k,b,n,p,w,30,o,l,h,y,p,p
455,k,s,e,f,y,f,c,n,b,t,?,62,k,s,w,p,p,w,30,o,e,w,v,d,p
456,f,y,e,t,n,f,c,b,n,t,b,595,s,s,g,w,p,w,24,o,p,k,v,d,e
457,f,f,g,t,n,f,c,b,n,t,b,353,s,s,p,g,p,w,35,o,p,n,y,d,e
458,x,f,g,f,n,f,c,n,p,e,e,171,s,s,w,w,p,w,68,o,p,n,y,u,e
459,b,f,w,f,n,f,w,b,p,e,?,11,s,s,w,w,p,w,26,t,p,w,s,g,e
460,f,f,y,f,f,f,c,b,g,e,b,423,k,k,b,n,p,w,42,o,l,h,y,g,p
461,f,s,w,f,n,f,w,b,n,t,e,206,f,s,w,w,p,w,48,o,e,n,s,g,e
462,k,y,n,f,f,f,c,n,b,t,?,278,k,s,w,p,p,w,38,o,e,w,v,l,p
463,x,f,g,t,n,f,c,b,n,t,b,199,s,s,g,w,p,w,25,o,p,k,y,d,e
464,x,s,n,f,s,f,c,n,b,t,?,126,k,k,w,w,p,w,23,o,e,w,v,l,p
465,b,y,y,t,l,f,c,b,g,e,c,1,s,s,w,w,p,w,36,o,p,k,n,m,e
466,f,y,n,t,n,f,c,b,w,t,b,315,s,s,p,w,p,w,27,o,p,n,y,d,e
467,k,s,n,f,n,a,c,b,o,e,?,653,s,s,o,o,p,o,48,o,p,o,v,l,e
468,x,y,e,t,n,f,c,b,u,t,b,3,s,s,g,w,p,w,52,o,p,n,y,d,e
469,x,s,w,f,c,f,w,n,p,e,b,315,s,s,w,w,p,w,23,o,p,n,s,d,p
470,k,y,e,f,s,f,c,n,b,t,?,70,s,s,p,w,p,w,40,o,e,w,v,l,p
471,f,y,g,t,n,f,c,b,w,t,b,222,s,s,p,g,p,w,48,o,p,k,y,d,e
472,k,y,e,f,s,f,c,n,b,t,?,345,k,s,w,w,p,w,23,o,e,w,v,d,p
473,k,s,e,f,y,f,c,n,b,t,?,873,s,s,p,w,p,w,23,o,e,w,v,p,p
474,f,y,e,f,y,f,c,n,b,t,?,68,s,k,p,p,p,w,80,o,e,w,v,l,p
475,b,y,y,t,l,f,c,b,n,e,c,1,s,s,w,w,p,w,45,o,p,n,n,m,e
476,f,y,n,f,s,f,c,n,b,t,?,190,k,k,w,w,p,w,43,o,e,w,v,d,p
477,x,f,y,f,f,f,c,b,g,e,b,5,k,k,n,n,p,w,23,o,l,h,y,p,p
478,x,f,g,f,f,f,c,b,p,e,b,28,k,k,p,n,p,w,26,o,l,h,y,g,p
479,f,y,p,t,n,f,c,b,w,e,b,181,s,s,w,w,p,w,82,t,p,w,v,p,e
480,f,f,e,t,n,f,c,b,w,t,b,347,s,s,g,g,p,w,57,o,p,k,y,d,e
481,x,s,g,f,n,f,w,b,p,t,e,5,f,s,w,w,p,w,47,o,e,n,a,g,e
482,f,y,g,t,n,f,c,b,u,t,b,144,s,s,g,p,p,w,23,o,p,k,y,d,e
483,b,s,y,t,l,f,c,b,w,e,c,99,s,s,w,w,p,w,24,o,p,n,s,m,e
484,f,y,y,f,f,f,c,b,g,e,b,3,k,k,p,n,p,w,35,o,l,h,v,g,p
485,b,s,b,t,n,f,c,b,g,e,b,7,s,s,w,w,p,w,41,t,p,r,v,m,p
486,x,y,y,f,f,f,c,b,p,e,b,481,k,k,n,n,p,w,26,o,l,h,y,g,p
487,x,y,n,f,f,f,c,n,b,t,?,246,k,k,p,p,p,w,55,o,e,w,v,p,p
488,f,y,g,t,n,f,c,b,n,t,b,6,s,s,g,g,p,w,30,o,p,k,y,d,e
489,f,s,e,f,f,f,c,n,b,t,?,576,k,s,p,p,p,w,23,o,e,w,v,d,p
490,x,f,n,t,n,f,c,b,w,t,b,167,s,s,g,w,p,w,25,o,p,n,y,d,e
491,x,s,e,f,s,f,c,n,b,t,?,61,k,k,p,p,p,w,31,o,e,w,v,d,p
492,x,s,p,f,c,f,w,n,p,e,b,527,s,s,w,w,p,w,22,o,p,k,s,d,p
493,b,s,w,t,a,f,c,b,g,e,c,52,s,s,w,w,p,w,32,o,p,n,s,m,e
494,f,y,n,t,n,f,c,b,p,t,b,179,s,s,g,g,p,w,55,o,p,k,y,d,e
495,k,s,e,f,y,f,c,n,b,t,?,7,k,s,p,w,p,w,39,o,e,w,v,l,p
496,f,s,b,t,f,f,c,b,p,t,b,202,f,f,w,w,p,w,67,o,p,h,s,u,p
497,k,s,n,f,n,a,c,b,n,e,?,274,s,s,o,o,p,o,23,o,p,n,v,l,e
498,x,y,g,f,f,f,c,b,g,e,b,286,k,k,n,b,p,w,23,o,l,h,v,p,p
499,b,s,w,t,a,f,c,b,g,e,c,122,s,s,w,w,p,w,23,o,p,n,n,m,e
500,x,s,g,t,f,f,c,b,p,t,b,92,s,s,w,w,p,w,23,o,p,h,v,g,p
501,f,y,n,t,n,f,c,b,w,t,b,98,s,s,g,p,p,w,61,o,p,k,y,d,e
502,f,f,w,f,n,f,w,b,p,t,e,62,f,s,w,w,p,w,28,o,e,n,s,g,e
503,f,y,n,f,f,f,c,n,b,t,?,135,k,s,w,w,p,w,26,o,e,w,v,l,p
504,k,s,e,f,y,f,c,n,b,t,?,869,k,s,w,p,p,w,59,o,e,w,v,p,p
505,x,f,g,t,n,f,c,b,w,t,b,143,s,s,p,w,p,w,23,o,p,n,y,d,e
506,b,f,y,f,n,f,c,n,w,e,?,6,k,y,w,y,p,w,45,o,e,w,v,d,p
507,x,f,g,f,n,f,w,b,g,e,?,182,s,s,w,w,p,w,23,t,p,w,s,g,e
508,k,y,n,f,f,f,c,n,b,t,?,352,s,k,w,w,p,w,54,o,e,w,v,l,p
509,x,f,y,f,f,f,c,b,p,e,b,188,k,k,p,p,p,w,23,o,l,h,y,g,p
510,k,s,n,f,n,a,c,b,y,e,?,332,s,s,o,o,p,o,26,o,p,b,c,l,e
511,f,y,e,f,y,f,c,n,b,t,?,84,k,k,p,p,p,w,23,o,e,w,v,l,p
512,x,s,g,f,c,f,w,n,n,e,b,147,s,s,w,w,p,w,55,o,p,n,s,d,p
513,x,y,n,f,s,f,c,n,b,t,?,287,s,s,w,p,p,w,64,o,e,w,v,l,p
514,k,y,n,f,y,f,c,n,b,t,?,168,s,s,w,w,p,w,43,o,e,w,v,d,p
515,f,y,g,t,n,f,c,b,n,t,b,7,s,s,w,p,p,w,23,o,p,n,y,d,e
516,f,s,g,f,n,f,w,b,n,t,e,16,f,f,w,w,p,w,25,o,e,k,a,g,e
517,f,y,e,f,s,f,c,n,b,t,?,132,s,s,p,w,p,w,26,o,e,w,v,l,p
518,x,y,w,t,p,f,c,n,w,e,e,48,s,s,w,w,p,w,45,o,p,n,v,u,p
519,x,f,w,f,n,f,w,b,h,t,e,124,f,s,w,w,p,w,46,o,e,k,a,g,e
520,x,y,g,f,f,f,c,b,g,e,b,161,k,k,b,b,p,w,28,o,l,h,y,g,p
521,f,f,y,f,f,f,c,b,h,e,b,185,k,k,p,b,p,w,23,o,l,h,v,g,p
522,k,s,e,f,s,f,c,n,b,t,?,644,k,s,w,w,p,w,74,o,e,w,v,l,p
523,x,y,e,t,n,f,c,b,e,e,?,177,s,s,e,e,p,w,55,t,e,w,c,w,e
524,x,y,g,f,f,f,c,b,g,e,b,31,k,k,n,n,p,w,23,o,l,h,y,p,p
525,x,s,e,f,f,f,c,n,b,t,?,618,s,s,w,p,p,w,25,o,e,w,v,l,p
526,x,y,y,f,f,f,c,b,g,e,b,114,k,k,p,n,p,w,23,o,l,h,y,p,p
527,x,f,g,t,n,f,c,b,w,t,b,10,s,s,p,p,p,w,26,o,p,n,v,d,e
528,b,s,w,t,a,f,c,b,g,e,c,94,s,s,w,w,p,w,23,o,p,k,n,g,e
